Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,08-04-2011,1614259.35,0,67.84,3.622,215.0743939,7.682
1,15-04-2011,1559889,0,71.27,3.743,215.2918561,7.682
1,22-04-2011,1564819.81,0,72.99,3.807,215.4599053,7.682
1,29-04-2011,1455090.69,0,72.03,3.81,215.6279544,7.682
1,06-05-2011,1629391.28,0,64.61,3.906,215.7960035,7.682
1,13-05-2011,1604775.58,0,75.64,3.899,215.9640526,7.682
1,20-05-2011,1428218.27,0,67.63,3.907,215.7339202,7.682
1,27-05-2011,1466046.67,0,77.72,3.786,215.5037878,7.682
1,03-06-2011,1635078.41,0,83,3.699,215.2736553,7.682
1,10-06-2011,1588948.32,0,83.13,3.648,215.0435229,7.682
1,17-06-2011,1532114.86,0,86.41,3.637,214.9980596,7.682
1,24-06-2011,1438830.15,0,83.58,3.594,215.0910982,7.682
1,01-07-2011,1488538.09,0,85.55,3.524,215.1841368,7.962
1,08-07-2011,1534849.64,0,85.83,3.48,215.2771754,7.962
1,15-07-2011,1455119.97,0,88.54,3.575,215.3611087,7.962
1,22-07-2011,1396926.82,0,85.77,3.651,215.4222784,7.962
1,29-07-2011,1352219.79,0,86.83,3.682,215.4834482,7.962
1,05-08-2011,1624383.75,0,91.65,3.684,215.544618,7.962
1,12-08-2011,1525147.09,0,90.76,3.638,215.6057878,7.962
1,19-08-2011,1530761.43,0,89.94,3.554,215.6693107,7.962
1,26-08-2011,1464693.46,0,87.96,3.523,215.7332258,7.962
1,02-09-2011,1550229.22,0,87.83,3.533,215.7971409,7.962
1,09-09-2011,1540471.24,1,76,3.546,215.861056,7.962
1,16-09-2011,1514259.78,0,79.94,3.526,216.0410526,7.962
1,23-09-2011,1380020.27,0,75.8,3.467,216.3758246,7.962
1,30-09-2011,1394561.83,0,79.69,3.355,216.7105965,7.962
1,07-10-2011,1630989.95,0,69.31,3.285,217.0453684,7.866
1,14-10-2011,1493525.93,0,71.74,3.274,217.3552733,7.866
1,21-10-2011,1502562.78,0,63.71,3.353,217.5159762,7.866
1,28-10-2011,1445249.09,0,66.57,3.372,217.6766791,7.866
1,04-11-2011,1697229.58,0,54.98,3.332,217.837382,7.866
1,11-11-2011,1594938.89,0,59.11,3.297,217.9980849,7.866
1,18-11-2011,1539483.7,0,62.25,3.308,218.2205088,7.866
1,25-11-2011,2033320.66,1,60.14,3.236,218.4676211,7.866
1,09-12-2011,1799682.38,0,43.93,3.158,218.9618456,7.866
1,16-12-2011,1881176.67,0,51.63,3.159,219.1794533,7.866
1,23-12-2011,2270188.99,0,47.96,3.112,219.3577216,7.866
